name,lat,lng,source,checked_on
응봉,37.5508333,127.0351833,https://ko.wikipedia.org/wiki/응봉역,2026-09-21
왕십리,37.561583,127.038417,https://ko.wikipedia.org/wiki/왕십리역,2026-09-21
회기,37.58917,127.05722,https://ko.wikipedia.org/wiki/회기역,2026-09-21
외대앞,37.595,127.06278,https://ko.wikipedia.org/wiki/외대앞역,2026-09-21
신이문,37.6025,127.0675,https://ko.wikipedia.org/wiki/신이문역,2026-09-21
석계,37.61472,127.06528,https://ko.wikipedia.org/wiki/석계역,2026-09-21
광운대,37.62306,127.06139,https://ko.wikipedia.org/wiki/광운대역,2026-09-21
월계,37.63167,127.05806,https://ko.wikipedia.org/wiki/월계역,2026-09-21
녹천,37.64472,127.05083,https://ko.wikipedia.org/wiki/녹천역,2026-09-21
창동,37.6525,127.04694,https://ko.wikipedia.org/wiki/창동역,2026-09-21
방학,37.66722,127.04417,https://ko.wikipedia.org/wiki/방학역,2026-09-21
도봉,37.67917,127.04528,https://ko.wikipedia.org/wiki/도봉역,2026-09-21
도봉산,37.68944,127.04583,https://ko.wikipedia.org/wiki/도봉산역,2026-09-21
망월사,37.71028,127.0475,https://ko.wikipedia.org/wiki/망월사역,2026-09-21
회룡,37.724361,127.047361,https://ko.wikipedia.org/wiki/회룡역,2026-09-21
의정부,37.73806,127.04611,https://ko.wikipedia.org/wiki/의정부역,2026-09-21
가능,37.74833,127.04417,https://ko.wikipedia.org/wiki/가능역,2026-09-21
녹양,37.75889,127.04194,https://ko.wikipedia.org/wiki/녹양역,2026-09-21
양주,37.77444,127.04472,https://ko.wikipedia.org/wiki/양주역,2026-09-21
마전신호장,37.79274483,127.050210562,https://rail.blue/railroad/logis/stationinfo.aspx?id=173,2026-09-21
덕계,37.81889,127.05639,https://ko.wikipedia.org/wiki/덕계역,2026-09-21
덕정,37.84444,127.06139,https://ko.wikipedia.org/wiki/덕정역,2026-09-21
지행,37.89222,127.05556,https://ko.wikipedia.org/wiki/지행역,2026-09-21
동두천중앙,37.90222,127.05639,https://ko.wikipedia.org/wiki/동두천중앙역,2026-09-21
보산,37.91361,127.05722,https://ko.wikipedia.org/wiki/보산역,2026-09-21
동두천,37.92774,127.054691,https://ko.wikipedia.org/wiki/동두천역,2026-09-21
소요산,37.947986,127.060714,https://ko.wikipedia.org/wiki/소요산역,2026-09-21
청산,37.99528,127.07444,https://ko.wikipedia.org/wiki/청산역,2026-09-21
한탄강,38.0071,127.065,https://ko.wikipedia.org/wiki/한탄강역,2026-09-21
전곡,38.0246056,127.0711361,https://ko.wikipedia.org/wiki/전곡역,2026-09-21
연천,38.10167,127.07389,https://ko.wikipedia.org/wiki/연천역,2026-09-21
